"Местное время в Толмачёво / им. А. И. Покрышкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.12.2018 23:30";"-13.0";"764.1";"774.7";"85";"Ветер, дующий с юга";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-15.0";
"31.12.2018 23:00";"-14.0";"764.1";"774.7";"85";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 900 м";"9.0";"-16.0";
"31.12.2018 22:30";"-14.0";"764.1";"774.7";"85";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 900 м";"9.0";"-16.0";
"31.12.2018 22:00";"-13.0";"764.1";"774.7";"78";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 750 м";"8.0";"-16.0";
"31.12.2018 21:30";"-13.0";"764.1";"774.7";"78";"Ветер, дующий с юга";"4";"";"";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"-16.0";
"31.12.2018 21:00";"-13.0";"764.1";"774.7";"78";"Ветер, дующий с юга";"4";"";"";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-16.0";
"31.12.2018 20:30";"-13.0";"764.9";"775.5";"78";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 1140 м";"10.0 и более";"-16.0";
"31.12.2018 20:00";"-13.0";"764.1";"774.7";"78";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 990 м";"9.0";"-16.0";
"31.12.2018 19:30";"-13.0";"764.9";"775.5";"78";"Ветер, дующий с юго-юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1380 м";"5.0";"-16.0";
"31.12.2018 19:00";"-13.0";"764.9";"775.5";"78";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1380 м";"8.0";"-16.0";
"31.12.2018 18:30";"-13.0";"764.9";"775.5";"85";"Ветер, дующий с юга";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1440 м";"5.0";"-15.0";
"31.12.2018 18:00";"-13.0";"764.9";"775.5";"85";"Ветер, дующий с юга";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1230 м";"5.0";"-15.0";
"31.12.2018 17:30";"-12.0";"764.9";"775.5";"79";"Ветер, дующий с юго-юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1230 м";"6.0";"-15.0";
"31.12.2018 17:00";"-12.0";"764.9";"775.5";"79";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1260 м";"10.0 и более";"-15.0";
"31.12.2018 16:30";"-12.0";"764.1";"774.7";"79";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 1440 м";"10.0 и более";"-15.0";
"31.12.2018 16:00";"-12.0";"764.1";"774.7";"79";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-15.0";
"31.12.2018 15:30";"-12.0";"764.1";"774.7";"79";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-15.0";
"31.12.2018 15:00";"-12.0";"763.3";"773.9";"79";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-15.0";
"31.12.2018 14:30";"-12.0";"763.3";"773.9";"79";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-15.0";
"31.12.2018 14:00";"-12.0";"763.3";"773.9";"79";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-15.0";
"31.12.2018 13:30";"-11.0";"763.4";"773.9";"73";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-15.0";
"31.12.2018 13:00";"-11.0";"763.4";"773.9";"79";"Ветер, дующий с юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-14.0";
"31.12.2018 12:30";"-11.0";"763.4";"773.9";"79";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"9.0";"-14.0";
"31.12.2018 12:00";"-10.0";"762.9";"773.4";"79";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-13.0";
"31.12.2018 11:30";"-10.0";"762.9";"773.4";"79";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 480 м";"9.0";"-13.0";
"31.12.2018 11:00";"-11.0";"762.9";"773.4";"85";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 480 м";"9.0";"-13.0";
"31.12.2018 10:30";"-10.0";"762.9";"773.4";"79";"Ветер, дующий с юго-юго-запада";"2";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 480 м";"6.0";"-13.0";
"31.12.2018 10:00";"-10.0";"762.2";"772.7";"79";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) снег, поземок, снег";"";"Сплошная (100%) 480 м";"6.0";"-13.0";
"31.12.2018 09:30";"-10.0";"762.2";"772.7";"85";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег, поземок, снег";"";"Сплошная (100%) 450 м";"7.0";"-12.0";
"31.12.2018 09:00";"-9.0";"762.3";"772.7";"79";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) снег, поземок, снег";"";"Разорванная (60-90%) 390 м, сплошная (100%) 690 м";"9.0";"-12.0";
"31.12.2018 08:30";"-9.0";"761.5";"771.9";"79";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) снег, поземок, снег";"";"Разорванная (60-90%) 390 м, сплошная (100%) 900 м";"9.0";"-12.0";
"31.12.2018 08:00";"-8.0";"760.7";"771.1";"79";"Ветер, дующий с западо-юго-запада";"7";"";"Слабый(ая)(ые) ливень (ливни), снег, поземок, снег";"";"Разорванная (60-90%) 360 м, сплошная (100%) 780 м, кучево-дождевые облака";"9.0";"-11.0";
"31.12.2018 07:30";"-7.0";"760.8";"771.1";"79";"Ветер, дующий с запада";"7";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Разорванная (60-90%) 360 м, сплошная (100%) 780 м, кучево-дождевые облака";"9.0";"-10.0";
"31.12.2018 07:00";"-7.0";"760.1";"770.4";"79";"Ветер, дующий с западо-юго-запада";"7";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Разорванная (60-90%) 390 м, сплошная (100%) 780 м, кучево-дождевые облака";"5.0";"-10.0";
"31.12.2018 06:30";"-7.0";"759.3";"769.6";"86";"Ветер, дующий с западо-юго-запада";"7";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 570 м, кучево-дождевые облака";"5.0";"-9.0";
"31.12.2018 06:00";"-7.0";"759.3";"769.6";"86";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 600 м, кучево-дождевые облака";"6.0";"-9.0";
"31.12.2018 05:30";"-7.0";"758.6";"768.9";"86";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 810 м, кучево-дождевые облака";"7.0";"-9.0";
"31.12.2018 05:00";"-7.0";"758.6";"768.9";"86";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 810 м, кучево-дождевые облака";"4.5";"-9.0";
"31.12.2018 04:30";"-8.0";"758.6";"768.9";"93";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 600 м, кучево-дождевые облака";"5.0";"-9.0";
"31.12.2018 04:00";"-8.0";"757.8";"768.1";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 600 м, кучево-дождевые облака";"4.7";"-10.0";
"31.12.2018 03:30";"-9.0";"757.7";"768.1";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Сплошная (100%) 720 м, кучево-дождевые облака";"2.5";"-10.0";
"31.12.2018 03:00";"-9.0";"757.7";"768.1";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 780 м";"9.0";"-11.0";
"31.12.2018 02:30";"-9.0";"757.7";"768.1";"86";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 780 м";"10.0 и более";"-11.0";
"31.12.2018 02:00";"-9.0";"757.7";"768.1";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 780 м";"9.0";"-11.0";
"31.12.2018 01:30";"-10.0";"757.7";"768.1";"85";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 780 м";"3.8";"-12.0";
"31.12.2018 01:00";"-10.0";"756.9";"767.3";"85";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 780 м";"2.5";"-12.0";
"31.12.2018 00:30";"-11.0";"756.9";"767.3";"79";"Ветер, дующий с юга";"5";"";"Снег";"";"Сплошная (100%) 480 м";"1.9";"-14.0";
"31.12.2018 00:00";"-11.0";"756.9";"767.3";"73";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Нет существенной облачности";"10.0 и более";"-15.0";
"30.12.2018 23:30";"-12.0";"756.8";"767.3";"67";"Ветер, дующий с юга";"5";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"-17.0";
"30.12.2018 23:00";"-13.0";"756.8";"767.3";"66";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"-18.0";
"30.12.2018 22:30";"-13.0";"756.8";"767.3";"61";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-19.0";
"30.12.2018 22:00";"-14.0";"756.8";"767.3";"61";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-20.0";
"30.12.2018 21:30";"-14.0";"756.8";"767.3";"61";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-20.0";
"30.12.2018 21:00";"-14.0";"756.8";"767.3";"56";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-21.0";
"30.12.2018 20:30";"-15.0";"756.7";"767.3";"55";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-22.0";
"30.12.2018 20:00";"-16.0";"756.7";"767.3";"60";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-22.0";
"30.12.2018 19:30";"-15.0";"756.7";"767.3";"55";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-22.0";
"30.12.2018 19:00";"-15.0";"756.7";"767.3";"55";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-22.0";
"30.12.2018 18:30";"-15.0";"757.5";"768.1";"55";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-22.0";
"30.12.2018 18:00";"-16.0";"757.5";"768.1";"60";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-22.0";
"30.12.2018 17:30";"-15.0";"757.5";"768.1";"55";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-22.0";
"30.12.2018 17:00";"-15.0";"757.5";"768.1";"55";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-22.0";
"30.12.2018 16:30";"-17.0";"756.6";"767.3";"60";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-23.0";
"30.12.2018 16:00";"-19.0";"757.3";"768.1";"65";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-24.0";
"30.12.2018 15:30";"-21.0";"757.3";"768.1";"54";"Ветер, дующий с юго-юго-востока";"3";"";"Дым";"";"Нет существенной облачности";"3.9";"-28.0";
"30.12.2018 15:00";"-24.0";"757.1";"768.1";"63";"Ветер, дующий с юго-юго-востока";"4";"";"Дымка, дым";"";"Нет существенной облачности";"3.8";"-29.0";
"30.12.2018 14:30";"-25.0";"757.1";"768.1";"63";"Ветер, дующий с юго-востока";"5";"";"Дымка, дым";"";"Нет существенной облачности";"3.7";"-30.0";
"30.12.2018 14:00";"-26.0";"757.0";"768.1";"69";"Ветер, дующий с юго-юго-востока";"4";"";"Дымка, дым";"";"Нет существенной облачности";"3.6";"-30.0";
"30.12.2018 13:30";"-27.0";"757.0";"768.1";"57";"Переменное направление";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.5";"-33.0";
"30.12.2018 13:00";"-28.0";"757.7";"768.9";"69";"Ветер, дующий с юго-востока";"3";"";"Дымка, дым";"";"Нет существенной облачности";"3.7";"-32.0";
"30.12.2018 12:30";"-29.0";"757.7";"768.9";"68";"Ветер, дующий с юго-востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.5";"-33.0";
"30.12.2018 12:00";"-30.0";"757.6";"768.9";"68";"Ветер, дующий с юго-востока";"3";"";"Дымка, дым";"";"Нет существенной облачности";"3.9";"-34.0";
"30.12.2018 11:30";"-31.0";"757.6";"768.9";"75";"Ветер, дующий с юго-востока";"5";"";"Дымка, дым";"";"Нет существенной облачности";"3.8";"-34.0";
"30.12.2018 11:00";"-32.0";"757.5";"768.9";"75";"Ветер, дующий с юго-востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"3.8";"-35.0";
"30.12.2018 10:30";"-33.0";"757.5";"768.9";"74";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.9";"-36.0";
"30.12.2018 10:00";"-25.0";"758.6";"769.6";"69";"Ветер, дующий с востоко-юго-востока";"4";"";"Дымка, дым";"";"Нет существенной облачности";"3.8";"-29.0";
"30.12.2018 09:30";"-29.0";"758.4";"769.6";"75";"Ветер, дующий с востоко-юго-востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"3.6";"-32.0";
"30.12.2018 09:00";"-32.0";"758.2";"769.6";"75";"Переменное направление";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.6";"-35.0";
"30.12.2018 08:30";"-30.0";"758.3";"769.6";"75";"Ветер, дующий с востоко-юго-востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"3.5";"-33.0";
"30.12.2018 08:00";"-33.0";"758.2";"769.6";"74";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.6";"-36.0";
"30.12.2018 07:30";"-30.0";"758.3";"769.6";"75";"Ветер, дующий с востока";"3";"";"Дымка, дым";"";"Нет существенной облачности";"3.5";"-33.0";
"30.12.2018 07:00";"-31.0";"758.3";"769.6";"75";"Ветер, дующий с востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.3";"-34.0";
"30.12.2018 06:30";"-30.0";"759.1";"770.4";"68";"Переменное направление";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-34.0";
"30.12.2018 06:00";"-26.0";"759.3";"770.4";"76";"Ветер, дующий с северо-запада";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-29.0";
"30.12.2018 05:30";"-29.0";"759.2";"770.4";"75";"Ветер, дующий с востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"2.7";"-32.0";
"30.12.2018 05:00";"-28.0";"759.2";"770.4";"75";"Ветер, дующий с востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.0";"-31.0";
"30.12.2018 04:30";"-31.0";"759.1";"770.4";"75";"Ветер, дующий с востоко-северо-востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-34.0";
"30.12.2018 04:00";"-32.0";"759.7";"771.1";"75";"Ветер, дующий с востоко-северо-востока";"1";"";"Дымка, дым";"";"Нет существенной облачности";"3.2";"-35.0";
"30.12.2018 03:30";"-31.0";"759.8";"771.1";"75";"Ветер, дующий с востоко-северо-востока";"2";"";"Дымка, дым";"";"Нет существенной облачности";"3.1";"-34.0";
"30.12.2018 03:00";"-30.0";"759.8";"771.1";"68";"Штиль, безветрие";"0";"";"Дымка, дым";"";"Нет существенной облачности";"3.0";"-34.0";
