X,Y
9.73,42.48
4.59,27.57
9.1,25.21
11.12,21.95
8.14,27.24
6.7,36.1
8.17,18.19
8.34,28.0
5.86,27.6
9.79,21.92
11.07,25.29
11.82,27.53
8.55,33.79
9.36,35.85
10.58,18.08
6.04,-1.54
5.61,28.05
9.64,34.32
8.41,18.19
5.24,40.36
9.63,23.79
6.69,32.37
9.05,17.28
9.64,23.27
10.55,26.39
8.33,34.14
6.89,28.44
10.43,22.67
13.54,27.99
8.68,37.31
6.34,18.62
8.67,50.28
9.58,44.72
7.9,31.99
6.94,29.58
8.45,21.64
7.03,28.15
7.22,13.43
9.63,32.87
4.03,22.17
7.78,31.29
8.79,15.64
7.05,11.03
9.87,27.24
10.93,20.7
12.47,38.0
10.92,9.42
11.85,30.31
8.69,46.11
11.24,22.1
9.35,28.72
8.52,17.47
5.7,34.91
11.17,16.7
11.74,47.64
9.96,20.22
10.46,34.41
9.02,23.49
6.37,31.13
11.47,23.35
7.0,36.08
13.68,31.88
8.42,40.92
9.7,20.88
7.84,24.96
7.37,46.7
12.02,36.65
10.81,18.02
8.39,16.3
7.25,32.13
11.1,38.75
10.31,20.86
7.33,31.17
12.51,22.95
,26.02
