Weight,Height
118.2763,66.29874
134.1059,69.23979
123.4101,69.96459
130.2675,70.33325
123.0713,67.8791
140.0347,69.80115
149.4641,71.85087
135.3824,68.86095
139.32,68.26626
132.8191,68.22977
134.2836,68.87266
119.1176,68.69331
124.9842,69.50191
126.6367,67.13278
112.9545,68.07784
132.3679,65.60161
108.6773,66.25651
117.4159,65.57211
100.181,69.01055
107.6959,64.2501
129.8113,70.00883
147.3407,67.42102
142.2231,65.37725
122.3176,66.4546
135.4493,66.25961
112.4972,64.69471
149.3595,70.89926
126.9729,67.05572
132.4495,66.16531
135.8181,67.22303
124.8695,69.51503
115.6159,65.44081
109.6408,66.5001
121.2501,66.04055
132.2297,67.5518
129.0295,69.06258
129.4721,65.86704
136.9183,66.38913
123.9572,67.06884
119.476,65.41938
128.5198,70.53863
128.774,66.42745
121.3385,67.52661
123.358,70.4217
130.7818,69.38026
134.8107,66.94303
123.5263,66.50907
128.9403,67.29972
139.2252,69.81584
120.8477,67.38016
126.4529,67.70214
130.6785,69.10227
121.4563,67.94031
123.7273,68.26271
132.0902,67.5991
143.8473,70.1651
134.9782,68.83927
117.2842,68.96635
128.5372,67.11342
121.7078,67.68551
123.3311,66.45664
106.7602,66.89404
120.5271,69.61824
149.6303,74.04804
142.7772,69.64822
115.4178,68.92365
119.6295,67.36277
134.3189,68.34878
128.4332,66.00426
126.6413,69.14864
117.5148,68.49425
134.2341,68.06637
144.9647,72.93887
132.6478,66.18115
119.7057,67.99965
117.8036,66.96461
137.5251,67.74233
127.1944,67.25235
118.6825,68.93064
122.408,67.66692
127.859,68.36323
124.2807,68.5151
126.3488,68.59649
117.1268,67.89703
123.3066,68.54559
130.224,68.57763
129.1373,65.30062
132.1716,69.64468
139.3675,68.60546
120.0443,66.67257
135.3145,67.51525
128.2222,69.19989
144.365,69.93288
129.3353,67.73185
126.148,69.01928
122.8646,68.85323
107.047,64.28729
143.1819,72.16006
141.3709,67.89779
122.7892,69.10375
137.5148,65.65523
117.8694,68.82547
122.2078,68.48097
117.8087,66.68648
126.9058,66.62504
103.1333,64.97433
78.56785,61.90725
139.1241,66.97721
111.8809,66.48817
128.2333,66.08182
120.26,67.8436
148.3076,68.57876
142.7289,68.22504
113.9473,65.79376
137.6963,69.42855
128.2394,69.73313
96.95428,66.27846
149.4527,70.91261
138.425,69.76864
123.4958,66.6929
138.9076,67.84359
123.4689,69.76751
148.3832,70.53942
134.5561,68.88232
132.0017,67.76694
115.6036,69.68007
114.5099,70.30177
