Вопрос 1,Вопрос 2
B,b
B,d
A,b
D,d
B,c
C,b
B,d
C,b
D,c
D,c
A,b
B,a
C,c
B,d
D,c
A,b
A,a
B,a
B,b
C,b
A,c
A,b
C,d
D,d
B,b
B,d
D,a
A,b
C,b
C,b
C,c
D,d
B,c
C,d
B,b
D,c
C,d
C,b
D,a
C,a
C,b
C,a
A,b
D,a
C,d
C,a
C,c
B,c
C,b
C,b
B,c
D,d
C,c
B,b
D,d
B,b
D,d
C,b
A,a
D,c
B,d
D,c
B,c
D,a
C,c
B,a
A,a
D,c
C,a
C,c
B,d
D,c
A,c
A,b
D,a
C,d
B,c
A,c
C,a
C,c
D,b
B,a
B,a
C,a
C,b
A,c
A,c
D,a
A,c
A,c
A,c
D,a
B,d
A,c
B,d
B,d
A,c
C,b
D,a
A,c
A,c
B,d
B,d
D,a
B,d
A,c
D,a
A,c
C,b
A,c
B,d
D,a
D,a
D,a
D,a
B,d
B,d
B,d
B,d
B,d
